VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
SNOW VEHICLE	YEAR	1963	28	80	0	1	2	2	0	0	113
SNOW VEHICLE	YEAR	1962	21	36	0	0	1	4	0	0	62
SNOW VEHICLE	YEAR	1961	13	33	0	0	6	6	0	0	58
SNOW VEHICLE	YEAR	1960	15	28	0	0	1	1	0	0	45
SNOW VEHICLE	YEAR	1959	4	4	0	0	1	0	0	0	9
SNOW VEHICLE	YEAR	1958	7	6	0	0	1	0	0	0	14
SNOW VEHICLE	YEAR	1957	2	7	0	0	1	0	0	0	10
SNOW VEHICLE	YEAR	1956	0	3	0	0	3	0	0	0	6
SNOW VEHICLE	YEAR	1955	2	4	0	1	1	0	0	0	8
SNOW VEHICLE	YEAR	1954	2	2	0	0	1	0	0	0	5
SNOW VEHICLE	YEAR	1953	0	6	0	0	0	0	0	0	6
SNOW VEHICLE	YEAR	1952	0	8	0	0	1	0	0	0	9
SNOW VEHICLE	YEAR	1950	2	4	0	0	0	0	0	0	6
SNOW VEHICLE	YEAR	1949	0	1	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1948	2	3	0	0	1	0	0	0	6
SNOW VEHICLE	YEAR	1947	2	3	0	0	0	0	0	0	5
SNOW VEHICLE	YEAR	1945	0	1	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1944	2	3	0	0	0	0	0	0	5
SNOW VEHICLE	YEAR	1940	2	3	0	0	0	0	0	0	5
SNOW VEHICLE	YEAR	1939	1	0	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1937	1	0	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1935	0	1	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1933	0	0	0	1	0	0	0	0	1
SNOW VEHICLE	YEAR	1930	1	1	0	0	0	0	0	0	2
SNOW VEHICLE	YEAR	1917	0	1	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1913	0	1	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1911	1	0	0	0	0	0	0	0	1
SNOW VEHICLE	YEAR	1907	1	1	0	0	0	0	0	0	2
SNOW VEHICLE	YEAR	1904	0	3	0	0	0	0	0	0	3
SNOW VEHICLE	YEAR	1903	0	3	0	0	0	0	0	0	3
SNOW VEHICLE	YEAR	1902	1	1	0	0	0	0	0	0	2
SNOW VEHICLE	YEAR	1901	2	2	0	0	0	1	0	0	5
OFF ROAD	MOTIVE POWER	D	284	51	1	0	3	5	0	0	344
OFF ROAD	MOTIVE POWER	G	620079	112581	4931	187	17585	5023	4	2	760392
OFF ROAD	MOTIVE POWER	OTHER	63	67	3	0	10	4	0	0	147
OFF ROAD	BODY TYPE	AP	2599	501	5	0	49	11	0	0	3165
OFF ROAD	BODY TYPE	DB	1173	345	19	6	12	36	0	0	1591
OFF ROAD	BODY TYPE	MB	2435	2095	50	2	43	88	0	0	4713
OFF ROAD	BODY TYPE	MD	3525	1343	71	7	99	90	0	0	5135
OFF ROAD	BODY TYPE	MF	375127	80320	3111	127	11685	3423	1	1	473795
OFF ROAD	BODY TYPE	MW	8206	2985	71	26	231	247	0	0	11766
OFF ROAD	BODY TYPE	RA	227361	25110	1608	19	5479	1137	3	1	260718
OFF ROAD	YEAR	2023	3208	425	0	0	6	0	0	0	3639
OFF ROAD	YEAR	2022	28217	2797	3	0	78	4	0	0	31099
OFF ROAD	YEAR	2021	33154	3027	14	0	275	14	0	0	36484
OFF ROAD	YEAR	2020	20404	1985	11	0	288	14	0	0	22702
OFF ROAD	YEAR	2019	21552	2281	12	0	359	13	0	0	24217
OFF ROAD	YEAR	2018	23544	2418	21	0	399	26	0	0	26408
OFF ROAD	YEAR	2017	21381	2235	20	0	465	36	0	0	24137
OFF ROAD	YEAR	2016	20006	2097	23	0	441	42	0	0	22609
OFF ROAD	YEAR	2015	15562	1661	31	0	403	34	0	0	17691
OFF ROAD	YEAR	2014	18749	1949	30	0	428	38	0	0	21194
OFF ROAD	YEAR	2013	17211	2239	59	0	413	56	0	0	19978
OFF ROAD	YEAR	2012	16141	2068	43	0	425	51	0	0	18728
OFF ROAD	YEAR	2011	15446	1819	77	0	432	57	0	0	17831
OFF ROAD	YEAR	2010	10454	1584	78	0	320	48	1	0	12485
OFF ROAD	YEAR	2009	19469	2745	133	0	637	73	0	0	23057
OFF ROAD	YEAR	2008	24045	4081	190	0	838	146	0	0	29300
OFF ROAD	YEAR	2007	28014	4729	230	2	916	217	0	0	34108
OFF ROAD	YEAR	2006	24445	5329	174	1	807	205	2	0	30963
OFF ROAD	YEAR	2005	23955	5124	179	2	784	205	0	0	30249
OFF ROAD	YEAR	2004	25693	5621	259	0	885	187	0	0	32645
OFF ROAD	YEAR	2003	20793	4955	310	3	838	166	0	0	27065
OFF ROAD	YEAR	2002	16407	3674	320	1	602	155	0	0	21159
OFF ROAD	YEAR	2001	18850	3932	400	3	711	178	0	0	24074
OFF ROAD	YEAR	2000	15505	3262	364	3	536	154	0	0	19824
OFF ROAD	YEAR	1999	10773	2197	280	1	400	116	0	0	13767
OFF ROAD	YEAR	1998	7250	1428	157	2	275	67	0	0	9179
OFF ROAD	YEAR	1997	5288	1119	110	0	210	60	0	0	6787
OFF ROAD	YEAR	1996	6123	1404	116	1	236	82	0	0	7962
OFF ROAD	YEAR	1995	5678	1301	73	1	231	75	0	0	7359
OFF ROAD	YEAR	1994	4733	1202	83	2	171	70	0	0	6261
OFF ROAD	YEAR	1993	5542	1291	89	2	222	90	0	1	7237
OFF ROAD	YEAR	1992	5170	1205	57	0	223	69	0	0	6724
OFF ROAD	YEAR	1991	5175	1409	76	1	222	71	0	1	6955
OFF ROAD	YEAR	1990	5907	1630	81	2	245	115	0	0	7980
OFF ROAD	YEAR	1989	4880	1304	56	3	202	76	0	0	6521
OFF ROAD	YEAR	1988	4250	1275	40	2	180	92	0	0	5839
OFF ROAD	YEAR	1987	7823	2258	69	8	421	167	0	0	10746
OFF ROAD	YEAR	1986	12161	3569	100	4	637	277	1	0	16749
OFF ROAD	YEAR	1985	10738	3778	93	21	499	312	0	0	15441
OFF ROAD	YEAR	1984	12031	4227	89	30	398	363	0	0	17138
OFF ROAD	YEAR	1983	9338	3500	85	25	271	300	0	0	13519
OFF ROAD	YEAR	1982	4615	1958	60	10	114	156	0	0	6913
OFF ROAD	YEAR	1981	2256	908	31	8	32	89	0	0	3324
OFF ROAD	YEAR	1980	1385	562	15	9	24	34	0	0	2029
OFF ROAD	YEAR	1979	1278	532	22	7	13	47	0	0	1899
OFF ROAD	YEAR	1978	1178	515	32	7	19	43	0	0	1794
OFF ROAD	YEAR	1977	876	370	21	4	12	31	0	0	1314
OFF ROAD	YEAR	1976	517	248	22	2	11	16	0	0	816
OFF ROAD	YEAR	1975	586	278	23	5	12	17	0	0	921
OFF ROAD	YEAR	1974	648	312	17	5	6	16	0	0	1004
OFF ROAD	YEAR	1973	492	223	17	4	6	15	0	0	757
OFF ROAD	YEAR	1972	458	219	13	3	7	13	0	0	713
OFF ROAD	YEAR	1971	286	133	10	1	4	11	0	0	445
OFF ROAD	YEAR	1970	220	93	4	0	5	4	0	0	326
OFF ROAD	YEAR	1969	113	58	2	0	1	2	0	0	176
OFF ROAD	YEAR	1968	83	24	1	0	1	2	0	0	111
OFF ROAD	YEAR	1967	57	17	1	0	0	2	0	0	77
OFF ROAD	YEAR	1966	53	14	1	0	0	2	0	0	70
OFF ROAD	YEAR	1965	55	29	3	0	0	1	0	0	88
OFF ROAD	YEAR	1964	30	9	0	0	0	2	0	0	41
OFF ROAD	YEAR	1963	21	5	0	0	1	0	0	0	27
OFF ROAD	YEAR	1962	22	10	0	0	0	1	0	0	33
OFF ROAD	YEAR	1961	10	6	0	0	0	0	0	0	16
OFF ROAD	YEAR	1960	19	7	1	1	0	0	0	0	28
OFF ROAD	YEAR	1959	18	5	0	0	0	2	0	0	25
OFF ROAD	YEAR	1958	6	4	0	0	0	1	0	0	11
OFF ROAD	YEAR	1957	11	5	1	0	0	0	0	0	17
OFF ROAD	YEAR	1956	3	2	0	0	0	1	0	0	6
OFF ROAD	YEAR	1955	8	1	1	1	0	0	0	0	11
OFF ROAD	YEAR	1954	7	1	0	0	0	0	0	0	8
OFF ROAD	YEAR	1953	6	2	0	0	0	1	0	0	9
OFF ROAD	YEAR	1952	10	5	0	0	1	1	0	0	17
OFF ROAD	YEAR	1951	2	0	1	0	0	0	0	0	3
OFF ROAD	YEAR	1950	2	0	1	0	0	0	0	0	3
OFF ROAD	YEAR	1949	3	3	0	0	0	0	0	0	6
OFF ROAD	YEAR	1948	4	1	0	0	0	0	0	0	5
OFF ROAD	YEAR	1947	7	1	0	0	0	1	0	0	9
OFF ROAD	YEAR	1946	2	2	0	0	0	0	0	0	4
OFF ROAD	YEAR	1945	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1944	0	1	0	0	0	0	0	0	1
OFF ROAD	YEAR	1943	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1942	6	1	0	0	0	0	0	0	7
OFF ROAD	YEAR	1940	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1925	0	1	0	0	0	0	0	0	1
OFF ROAD	YEAR	1923	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1919	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1912	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1906	1	0	0	0	0	0	0	0	1
OFF ROAD	YEAR	1901	1	0	0	0	0	0	0	0	1
